phrase
الصدق منجٍّ
الشجاعة كنز لا يفنى
النبل خلق حميد
الخير يفتح الأبواب
العزيمة تصنع المعجزات
الصبر مفتاح الفرج
الحب يزرع الأمل
الكرم يرفع القدر
التسامح يطفئ نار العداوة
الرحمة لغة القلوب
الإخلاص طريق النجاح
التواضع دليل الرفعة
العقل زينة
الجد يجلب السعادة
الحكمة نور يهدي
الصدق أساس الثقة
العمل عبادة
المروءة شرف
الأمل حياة
الإيثار رفعة
الهمة تقهر الصعاب
العلم نور
العدل أساس الملك
الجود عادة الكرام
التعاون قوة
الابتسامة صدقة
البر بركة
الليل ستار الرحمة
الخير يبقى أثره
الحلم سيد الأخلاق
الرضا يجلب السكينة
الإيمان طمأنينة
المحبة تجمع القلوب
الشكر يجلب النعم
العطاء حياة
اللين مفتاح القلوب
الوفاء تاج المروءة
الصمت حكمة
الحياء نور
العفو رفعة
الإتقان شرف العامل
الإبداع روح التقدم
النقاء صفاء الروح
العدل يرفع الظلم
الأمل يجدد العزيمة
الحب يصنع المستحيل
الكرم لغة العظماء
الشجاعة تصنع التاريخ
الصدق يحفظ الكرامة
العزيمة تحرك الجبال
العفو شجاعة
الصدق منجاة
التواضع رفعة
الكرم سيادة
الإحسان نور
الرحمة مفتاح القلوب
المحبة تجمعنا
الثقة تبني الجسور
العِلم هداية
الحلم قوة
الحياء زينة
الإخلاص بركة
الوفاء عهد
النبل عنوان الأخلاق
القناعة كنز
الحكمة تاج
السكينة طمأنينة
النقاء جمال
الصفاء راحة
الإيثار قمة الكرم
الهدى سبيل النجاة
البصيرة نور
الصدق راحة للضمير
العفو دواء القلوب
الكرامة حياة
الرحابة تسع الجميع
الودّ يذيب المسافات
الشكر زيادة
البر وصال
الأمانة نجاة
الإيمان قوة في القلب
الصِّدقُ مُنجٍ
الإخلاصُ دليلُ النَّقاء
القَناعةُ راحةٌ دائمة
السَّكينةُ سَلامٌ داخلي
من تواضع لله رفعه
من عفا وأصلح فأجره على الله
من زرع خيرًا حصد محبة
الكلمة الطيبة صدقة
تبسُّمك في وجه أخيك صدقة
من صدق نجا
بالرفق تُقتنص القلوب
من سامح ارتاح قلبه
من شكر دامت نعمته
من أحسن أحسن الله إليه
من واصل رحمه بورك في عمره
العطاء سر السعادة
سارع إلى الخير تجد أثره
اجعل لطفك عادة
إذا ضاقت نفسك فأكثر من الدعاء
التثبيت ثم التثبيت، فالخير يورث الخير
العلم يرفع بيوتًا لا عِماد لها
من نصحك أحبك
الستر من شيم الكرام
من أحبَّ الخير أحبَّه الناس
الصدق زينة الإنسان
الصدق طريق النجاح
الصدق أساس السلام
الصدق راحة للقلب
الصدق نور في الدرب
الصدق عنوان الكرامة
بالالصدق تسمو الأرواح
الصدق يُثمر محبة
الشجاعة زينة الإنسان
الشجاعة طريق النجاح
الشجاعة أساس السلام
الشجاعة راحة للقلب
الشجاعة نور في الدرب
الشجاعة عنوان الكرامة
بالالشجاعة تسمو الأرواح
الشجاعة يُثمر محبة
الكرم زينة الإنسان
الكرم طريق النجاح
الكرم أساس السلام
الكرم راحة للقلب
الكرم نور في الدرب
الكرم عنوان الكرامة
بالالكرم تسمو الأرواح
الكرم يُثمر محبة
الرحمة زينة الإنسان
الرحمة طريق النجاح
الرحمة أساس السلام
الرحمة راحة للقلب
الرحمة نور في الدرب
الرحمة عنوان الكرامة
بالالرحمة تسمو الأرواح
الرحمة يُثمر محبة
الإحسان زينة الإنسان
الإحسان طريق النجاح
الإحسان أساس السلام
الإحسان راحة للقلب
الإحسان نور في الدرب
الإحسان عنوان الكرامة
بالالإحسان تسمو الأرواح
الإحسان يُثمر محبة
الإخلاص زينة الإنسان
الإخلاص أساس السلام
الإخلاص راحة للقلب
الإخلاص نور في الدرب
الإخلاص عنوان الكرامة
بالالإخلاص تسمو الأرواح
الإخلاص يُثمر محبة
التواضع زينة الإنسان
التواضع طريق النجاح
التواضع أساس السلام
التواضع راحة للقلب
التواضع نور في الدرب
التواضع عنوان الكرامة
بالالتواضع تسمو الأرواح
التواضع يُثمر محبة
الثقة زينة الإنسان
الثقة طريق النجاح
الثقة أساس السلام
الثقة راحة للقلب
الثقة نور في الدرب
الثقة عنوان الكرامة
بالالثقة تسمو الأرواح
الثقة يُثمر محبة
المحبة زينة الإنسان
المحبة طريق النجاح
المحبة أساس السلام
المحبة راحة للقلب
المحبة نور في الدرب
المحبة عنوان الكرامة
بالالمحبة تسمو الأرواح
المحبة يُثمر محبة
السكينة زينة الإنسان
السكينة طريق النجاح
السكينة أساس السلام
السكينة راحة للقلب
السكينة نور في الدرب
السكينة عنوان الكرامة
بالالسكينة تسمو الأرواح
السكينة يُثمر محبة
الأمل زينة الإنسان
الأمل طريق النجاح
الأمل أساس السلام
الأمل راحة للقلب
الأمل نور في الدرب
الأمل عنوان الكرامة
بالالأمل تسمو الأرواح
الأمل يُثمر محبة
الحكمة زينة الإنسان
الحكمة طريق النجاح
الحكمة أساس السلام
الحكمة راحة للقلب
الحكمة نور في الدرب
الحكمة عنوان الكرامة
بالالحكمة تسمو الأرواح
الحكمة يُثمر محبة
النقاء زينة الإنسان
النقاء طريق النجاح
النقاء أساس السلام
النقاء راحة للقلب
النقاء نور في الدرب
النقاء عنوان الكرامة
بالالنقاء تسمو الأرواح
النقاء يُثمر محبة
الصفاء زينة الإنسان
الصفاء طريق النجاح
الصفاء أساس السلام
الصفاء راحة للقلب
الصفاء نور في الدرب
الصفاء عنوان الكرامة
بالالصفاء تسمو الأرواح
الصفاء يُثمر محبة
العزيمة زينة الإنسان
العزيمة طريق النجاح
العزيمة أساس السلام
العزيمة راحة للقلب
العزيمة نور في الدرب
العزيمة عنوان الكرامة
بالالعزيمة تسمو الأرواح
العزيمة يُثمر محبة
النبل زينة الإنسان
النبل طريق النجاح
النبل أساس السلام
النبل راحة للقلب
النبل نور في الدرب
النبل عنوان الكرامة
بالالنبل تسمو الأرواح
النبل يُثمر محبة
البر زينة الإنسان
البر طريق النجاح
البر أساس السلام
البر راحة للقلب
البر نور في الدرب
البر عنوان الكرامة
بالالبر تسمو الأرواح
البر يُثمر محبة
الأمانة زينة الإنسان
الأمانة طريق النجاح
الأمانة أساس السلام
الأمانة راحة للقلب
الأمانة نور في الدرب
الأمانة عنوان الكرامة
بالالأمانة تسمو الأرواح
الأمانة يُثمر محبة
الوفاء زينة الإنسان
